Дата	Раздел	Подраздел	Статья	Баланс
31.08.2015	Актив	Прочие активы	Прочие необоротные фонды	34589,00
31.08.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-64594,00
31.08.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-70038,00
31.08.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-78557,00
31.08.2015	Пассив	Прочие обязательства	Акционерный капитал	-61656,00
30.09.2015	Актив	Оборотные средства	Касса	67936,00
30.09.2015	Актив	Оборотные средства	Дебиторская задолженность	5463,00
30.09.2015	Актив	Оборотные средства	Материально-производственные запасы	24009,00
30.09.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	54961,00
30.09.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	43537,00
30.09.2015	Актив	Прочие активы	Имущество и оборудование	42607,00
30.09.2015	Актив	Прочие активы	Отсроченный налог на прибыль	31145,00
30.09.2015	Актив	Прочие активы	Прочие необоротные фонды	10164,00
30.09.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-91678,00
30.09.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-75177,00
30.09.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-56355,00
30.09.2015	Пассив	Прочие обязательства	Акционерный капитал	-56612,00
31.10.2015	Актив	Оборотные средства	Касса	49754,00
31.10.2015	Актив	Оборотные средства	Дебиторская задолженность	34669,00
31.10.2015	Актив	Оборотные средства	Материально-производственные запасы	70485,00
31.10.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	18490,00
31.10.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	25163,00
31.10.2015	Актив	Прочие активы	Имущество и оборудование	10976,00
31.10.2015	Актив	Прочие активы	Отсроченный налог на прибыль	18568,00
31.10.2015	Актив	Прочие активы	Прочие необоротные фонды	86930,00
31.10.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-74792,00
31.10.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-72831,00
31.10.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-82034,00
31.10.2015	Пассив	Прочие обязательства	Акционерный капитал	-85378,00
30.11.2015	Актив	Оборотные средства	Касса	49543,00
30.11.2015	Актив	Оборотные средства	Дебиторская задолженность	20248,00
30.11.2015	Актив	Оборотные средства	Материально-производственные запасы	24236,00
30.11.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	35328,00
30.11.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	9297,00
30.11.2015	Актив	Прочие активы	Имущество и оборудование	63652,00
30.11.2015	Актив	Прочие активы	Отсроченный налог на прибыль	20141,00
30.11.2015	Актив	Прочие активы	Прочие необоротные фонды	21853,00
30.11.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-69139,00
30.11.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-84070,00
30.11.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-18431,00
30.11.2015	Пассив	Прочие обязательства	Акционерный капитал	-72498,00
31.12.2015	Актив	Оборотные средства	Касса	54850,00
31.12.2015	Актив	Оборотные средства	Дебиторская задолженность	31436,00
31.12.2015	Актив	Оборотные средства	Материально-производственные запасы	30021,00
31.12.2015	Актив	Оборотные средства	Уплаченные ранее расходы и другое	34185,00
31.12.2015	Актив	Оборотные средства	Отсроченный налог на прибыль	21265,00
31.12.2015	Актив	Прочие активы	Имущество и оборудование	43720,00
31.12.2015	Актив	Прочие активы	Отсроченный налог на прибыль	16444,00
31.12.2015	Актив	Прочие активы	Прочие необоротные фонды	29606,00
31.12.2015	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-50719,00
31.12.2015	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-87209,00
31.12.2015	Пассив	Прочие обязательства	Долгосрочная задолженность	-47775,00
31.12.2015	Пассив	Прочие обязательства	Акционерный капитал	-75824,00
31.01.2016	Актив	Оборотные средства	Касса	40973,00
31.01.2016	Актив	Оборотные средства	Дебиторская задолженность	48293,00
31.01.2016	Актив	Оборотные средства	Материально-производственные запасы	8898,00
31.01.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	3530,00
31.01.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	10365,00
31.01.2016	Актив	Прочие активы	Имущество и оборудование	37781,00
31.01.2016	Актив	Прочие активы	Отсроченный налог на прибыль	50449,00
31.01.2016	Актив	Прочие активы	Прочие необоротные фонды	38664,00
31.01.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-64015,00
31.01.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-64216,00
31.01.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-46024,00
31.01.2016	Пассив	Прочие обязательства	Акционерный капитал	-64698,00
29.02.2016	Актив	Оборотные средства	Касса	43448,00
29.02.2016	Актив	Оборотные средства	Дебиторская задолженность	23643,00
29.02.2016	Актив	Оборотные средства	Материально-производственные запасы	95623,00
29.02.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	23392,00
29.02.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	1116,00
29.02.2016	Актив	Прочие активы	Имущество и оборудование	5430,00
29.02.2016	Актив	Прочие активы	Отсроченный налог на прибыль	33085,00
29.02.2016	Актив	Прочие активы	Прочие необоротные фонды	14334,00
29.02.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-99470,00
29.02.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-63985,00
29.02.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-46715,00
29.02.2016	Пассив	Прочие обязательства	Акционерный капитал	-29901,00
31.03.2016	Актив	Оборотные средства	Касса	61231,00
31.03.2016	Актив	Оборотные средства	Дебиторская задолженность	4933,00
31.03.2016	Актив	Оборотные средства	Материально-производственные запасы	50584,00
31.03.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	4579,00
31.03.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	53676,00
31.03.2016	Актив	Прочие активы	Имущество и оборудование	53166,00
31.03.2016	Актив	Прочие активы	Отсроченный налог на прибыль	33102,00
31.03.2016	Актив	Прочие активы	Прочие необоротные фонды	27324,00
31.03.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-85922,00
31.03.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-40664,00
31.03.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-84304,00
31.03.2016	Пассив	Прочие обязательства	Акционерный капитал	-77705,00
30.04.2016	Актив	Оборотные средства	Касса	56069,00
30.04.2016	Актив	Оборотные средства	Дебиторская задолженность	35781,00
30.04.2016	Актив	Оборотные средства	Материально-производственные запасы	26760,00
30.04.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	39108,00
30.04.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	45478,00
30.04.2016	Актив	Прочие активы	Имущество и оборудование	14232,00
30.04.2016	Актив	Прочие активы	Отсроченный налог на прибыль	13033,00
30.04.2016	Актив	Прочие активы	Прочие необоротные фонды	40286,00
30.04.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-64693,00
30.04.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-88474,00
30.04.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-89193,00
30.04.2016	Пассив	Прочие обязательства	Акционерный капитал	-28387,00
31.05.2016	Актив	Оборотные средства	Касса	52296,00
31.05.2016	Актив	Оборотные средства	Дебиторская задолженность	39887,00
31.05.2016	Актив	Оборотные средства	Материально-производственные запасы	32932,00
31.05.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	32113,00
31.05.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	43963,00
31.05.2016	Актив	Прочие активы	Имущество и оборудование	26397,00
31.05.2016	Актив	Прочие активы	Отсроченный налог на прибыль	21176,00
31.05.2016	Актив	Прочие активы	Прочие необоротные фонды	21911,00
31.05.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-71506,00
31.05.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-64645,00
31.05.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-74838,00
31.05.2016	Пассив	Прочие обязательства	Акционерный капитал	-59686,00
30.06.2016	Актив	Оборотные средства	Касса	41441,00
30.06.2016	Актив	Оборотные средства	Дебиторская задолженность	64952,00
30.06.2016	Актив	Оборотные средства	Материально-производственные запасы	47432,00
30.06.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	74247,00
30.06.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	32140,00
30.06.2016	Актив	Прочие активы	Имущество и оборудование	17719,00
30.06.2016	Актив	Прочие активы	Отсроченный налог на прибыль	1399,00
30.06.2016	Актив	Прочие активы	Прочие необоротные фонды	27795,00
30.06.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-77214,00
30.06.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-73065,00
30.06.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-78847,00
30.06.2016	Пассив	Прочие обязательства	Акционерный капитал	-77999,00
31.07.2016	Актив	Оборотные средства	Касса	52872,00
31.07.2016	Актив	Оборотные средства	Дебиторская задолженность	1553,00
31.07.2016	Актив	Оборотные средства	Материально-производственные запасы	21474,00
31.07.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	67518,00
31.07.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	41820,00
31.07.2016	Актив	Прочие активы	Имущество и оборудование	59164,00
31.07.2016	Актив	Прочие активы	Отсроченный налог на прибыль	25837,00
31.07.2016	Актив	Прочие активы	Прочие необоротные фонды	7566,00
31.07.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-77814,00
31.07.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-51308,00
31.07.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-77238,00
31.07.2016	Пассив	Прочие обязательства	Акционерный капитал	-71444,00
31.08.2016	Актив	Оборотные средства	Касса	53591,00
31.08.2016	Актив	Оборотные средства	Дебиторская задолженность	30388,00
31.08.2016	Актив	Оборотные средства	Материально-производственные запасы	7370,00
31.08.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	58293,00
31.08.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	26153,00
31.08.2016	Актив	Прочие активы	Имущество и оборудование	20324,00
31.08.2016	Актив	Прочие активы	Отсроченный налог на прибыль	40558,00
31.08.2016	Актив	Прочие активы	Прочие необоротные фонды	43553,00
31.08.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-59670,00
31.08.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-81953,00
31.08.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-91190,00
31.08.2016	Пассив	Прочие обязательства	Акционерный капитал	-47417,00
30.09.2016	Актив	Оборотные средства	Касса	41644,00
30.09.2016	Актив	Оборотные средства	Дебиторская задолженность	3726,00
30.09.2016	Актив	Оборотные средства	Материально-производственные запасы	34845,00
30.09.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	45941,00
30.09.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	41730,00
30.09.2016	Актив	Прочие активы	Имущество и оборудование	47099,00
30.09.2016	Актив	Прочие активы	Отсроченный налог на прибыль	13158,00
30.09.2016	Актив	Прочие активы	Прочие необоротные фонды	21001,00
30.09.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-51200,00
30.09.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-64670,00
30.09.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-94430,00
30.09.2016	Пассив	Прочие обязательства	Акционерный капитал	-38844,00
31.10.2016	Актив	Оборотные средства	Касса	56759,00
31.10.2016	Актив	Оборотные средства	Дебиторская задолженность	34639,00
31.10.2016	Актив	Оборотные средства	Материально-производственные запасы	27789,00
31.10.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	41014,00
31.10.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	6513,00
31.10.2016	Актив	Прочие активы	Имущество и оборудование	26746,00
31.10.2016	Актив	Прочие активы	Отсроченный налог на прибыль	24215,00
31.10.2016	Актив	Прочие активы	Прочие необоротные фонды	24881,00
31.10.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-72918,00
31.10.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-63298,00
31.10.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-52073,00
31.10.2016	Пассив	Прочие обязательства	Акционерный капитал	-54267,00
30.11.2016	Актив	Оборотные средства	Касса	32621,00
30.11.2016	Актив	Оборотные средства	Дебиторская задолженность	37930,00
30.11.2016	Актив	Оборотные средства	Материально-производственные запасы	9789,00
30.11.2016	Актив	Оборотные средства	Уплаченные ранее расходы и другое	70083,00
30.11.2016	Актив	Оборотные средства	Отсроченный налог на прибыль	61690,00
30.11.2016	Актив	Прочие активы	Имущество и оборудование	26654,00
30.11.2016	Актив	Прочие активы	Отсроченный налог на прибыль	17568,00
30.11.2016	Актив	Прочие активы	Прочие необоротные фонды	29575,00
30.11.2016	Пассив	Краткосрочные обязательства	Кредиторская задолженность	-68989,00
30.11.2016	Пассив	Краткосрочные обязательства	Прочие краткосрочные обязательства	-98053,00
30.11.2016	Пассив	Прочие обязательства	Долгосрочная задолженность	-50525,00
30.11.2016	Пассив	Прочие обязательства	Акционерный капитал	-68343,00
